2023-05-29T17:05:39Z
 
Index_No.     Time_Stamp
492      282.3715
492      282.3836
492      282.3947
492      282.4056
492      282.4166
492      282.4276
492      282.4385
492      282.4496
492      282.4605
492      282.4715
492      282.4835
492      282.4946
492      282.5051
492      282.5163
492      282.5272
492      282.5382
492      282.55
492      282.5611
492      282.5721
492      282.5831
492      282.5949
492      282.6048
492      282.6161
492      282.627
492      282.6387
492      282.6493
492      282.6612
492      282.6724
492      282.683
492      282.6944
492      282.7051
492      282.7162
492      282.7271
492      282.7383
492      282.7493
492      282.7612
492      282.7722
492      282.7833
492      282.7943
492      282.8052
492      282.8162
492      282.8273
492      282.8384
492      282.8502
492      282.8604
492      282.8714
492      282.8836
492      282.8939
492      282.9058
492      282.9157
492      282.9279
492      282.9389
492      282.95
492      282.9613
492      282.9721
492      282.9834
492      282.9941
492      283.0051
492      283.0164
492      283.0272
492      283.0383
492      283.0499
492      283.061
492      283.072
492      283.0831
492      283.0945
492      283.1051
492      283.116
492      283.127
492      283.1382
492      283.1498
492      283.1604
492      283.1715
492      283.1835
492      283.1937
492      283.2057
492      283.2167
492      283.2276
492      283.2386
492      283.2498
492      283.2603
492      283.2715
492      283.2834
492      283.2946
492      283.3055
492      283.3165
492      283.3276
492      283.3384
492      283.3495
492      283.3607
492      283.3719
492      283.3828
492      283.3943
492      283.4057
492      283.4164
492      283.4274
492      283.4383
492      283.4493
492      283.4603
492      283.4724
492      283.4834
492      283.4944
492      283.5056
492      283.5163
492      283.5275
492      283.5385
492      283.5509
492      283.5611
492      283.5722
492      283.5832
492      283.5939
492      283.6051
492      283.6161
492      283.6271
492      283.6391
492      283.65
492      283.661
492      283.6721
492      283.6829
492      283.6939
492      283.705
492      283.7175
492      283.7266
492      283.738
492      283.7495
492      283.7606
492      283.7716
492      283.7825
492      283.7955
492      283.8054
492      283.8168
492      283.8276
492      283.8387
492      283.8497
492      283.8604
492      283.8721
492      283.8834
492      283.8944
492      283.9057
492      283.9165
